,x,y,z
648,50.76553,42.62138,-1022.0
649,52.11345,42.61485,-1021.0
650,68.64846,42.72148,-1021.0
651,69.75311,42.55243,-1021.5
652,51.61112,43.27823,-1021.5
653,69.24032,43.24247,-1021.0
654,68.83197,43.86553,-1021.0
655,50.81629,43.95496,-1021.5
656,49.94332,43.32071,-1022.0
657,51.89255,44.06447,-1021.0
658,69.85034,43.77066,-1021.5
659,70.61603,43.26097,-1022.0
660,69.64353,44.58131,-1021.0
661,49.92821,44.65601,-1022.0
662,51.32091,44.6049,-1021.5
663,51.74897,45.25983,-1021.0
664,70.60138,44.61603,-1021.5
665,71.47442,43.96331,-1022.0
666,50.85228,45.27126,-1021.5
667,70.21122,45.24342,-1021.0
668,71.53756,45.19955,-1022.0
669,49.87395,45.94563,-1022.0
670,51.23743,45.92908,-1021.5
671,51.64202,46.5698,-1021.0
672,70.78386,45.75683,-1021.5
673,70.56651,46.59234,-1021.0
674,50.68916,46.61041,-1021.5
675,72.39477,46.022,-1022.0
676,71.47569,46.63256,-1021.5
677,49.88512,47.23248,-1022.0
678,51.16175,47.25834,-1021.0
679,51.56515,47.92091,-1021.0
680,71.09908,47.26453,-1021.5
681,70.62846,47.91442,-1021.0
682,73.25442,46.67505,-1022.5
683,72.37956,47.27667,-1022.0
684,50.72245,47.94251,-1021.5
685,71.66019,47.78773,-1021.5
686,71.36507,48.38458,-1021.5
687,73.26888,47.9556,-1022.0
688,49.96367,48.59979,-1022.0
689,49.08618,47.94352,-1022.0
690,51.12295,48.59237,-1021.0
691,51.54459,49.27647,-1021.0
692,70.59768,49.27003,-1021.0
693,72.37548,48.58393,-1022.0
694,49.08929,49.2365,-1022.0
695,50.64852,49.27433,-1021.5
696,71.60605,49.31306,-1021.5
697,73.2606,49.24558,-1022.5
698,49.86689,49.96623,-1022.0
699,51.11978,49.93649,-1021.0
700,51.51878,50.64312,-1021.0
701,71.08205,49.9314,-1021.5
702,70.47298,50.50805,-1021.0
703,72.41281,49.9408,-1022.0
704,50.63278,50.59504,-1021.5
705,69.85795,51.34919,-1021.0
706,71.611,50.67097,-1021.5
707,49.8489,51.27529,-1022.0
