,x_x,y_x,z,x_y,y_y
169,-239.53125,-239.53125,-1021.0,52.78413391113281,30.20966339111328
170,-239.53125,-239.53125,-1021.0,64.96051025390625,57.28995895385742
171,-239.53125,-239.53125,-1021.0,66.89112854003906,37.32160949707031
172,-239.53125,-239.53125,-1021.0,58.3393669128418,57.95175552368164
173,-239.53125,-239.53125,-1021.0,53.73995590209961,29.52283477783203
174,-239.53125,-239.53125,-1021.0,55.55356979370117,57.22630310058594
175,-239.53125,-239.53125,-1021.0,52.76319122314453,39.25652313232422
176,-239.53125,-239.53125,-1021.0,50.938663482666016,34.0595703125
177,-239.53125,-239.53125,-1021.0,51.64202117919922,46.569801330566406
178,-239.53125,-239.53125,-1021.0,69.43475341796875,52.70119857788086
179,-239.53125,-239.53125,-1021.0,66.72718811035156,34.71512222290039
180,-239.53125,-239.53125,-1021.0,66.9507827758789,36.00188064575195
181,-239.53125,-239.53125,-1021.0,50.956382751464844,32.77328109741211
182,-239.53125,-239.53125,-1021.0,51.870277404785156,30.850008010864258
183,-239.53125,-239.53125,-1021.0,70.5976791381836,49.2700309753418
184,-239.53125,-239.53125,-1021.0,52.64456558227539,41.945796966552734
185,-239.53125,-239.53125,-1021.0,70.62846374511719,47.914424896240234
186,-239.53125,-239.53125,-1021.0,67.72211456298828,40.55464172363281
187,-239.53125,-239.53125,-1021.0,54.68061828613281,28.933738708496094
188,-239.53125,-239.53125,-1021.0,51.82923889160156,37.309669494628906
189,-239.53125,-239.53125,-1021.0,52.7051887512207,40.55025863647461
190,-239.53125,-239.53125,-1021.0,68.6484603881836,42.72148132324219
191,-239.53125,-239.53125,-1021.0,69.6435317993164,44.5813102722168
192,-239.53125,-239.53125,-1021.0,59.29576110839844,28.40834617614746
193,-239.53125,-239.53125,-1021.0,63.868614196777344,30.225414276123047
194,-239.53125,-239.53125,-1021.0,51.748966217041016,45.259830474853516
195,-239.53125,-239.53125,-1021.0,57.43395233154297,28.343175888061523
196,-239.53125,-239.53125,-1021.0,70.47298431396484,50.5080451965332
197,-239.53125,-239.53125,-1021.0,68.41027069091797,54.71333694458008
198,-239.53125,-239.53125,-1021.0,62.94112014770508,29.603670120239258
199,-239.53125,-239.53125,-1021.0,50.84992218017578,35.476341247558594
200,-239.53125,-239.53125,-1021.0,59.479820251464844,58.27006149291992
201,-239.53125,-239.53125,-1021.0,64.79615020751953,30.87371253967285
202,-239.53125,-239.53125,-1021.0,51.36412811279297,52.8126106262207
203,-239.53125,-239.53125,-1021.0,64.00924682617188,57.931968688964844
204,-239.53125,-239.53125,-1021.0,51.119781494140625,49.936492919921875
205,-239.53125,-239.53125,-1021.0,70.5665054321289,46.59233856201172
206,-239.53125,-239.53125,-1021.0,52.0701789855957,54.67972183227539
207,-239.53125,-239.53125,-1021.0,66.67691802978516,33.475345611572266
208,-239.53125,-239.53125,-1021.0,51.15874099731445,51.29110336303711
209,-239.53125,-239.53125,-1021.0,51.12295150756836,48.592369079589844
