,x,y,z
428,-239.53125,-239.53125,-632.0
429,-239.53125,-239.53125,-633.5
430,-239.53125,-239.53125,-635.0
431,-239.53125,-239.53125,-636.5
432,-239.53125,-239.53125,-638.0
433,-239.53125,-239.53125,-639.5
434,-239.53125,-239.53125,-641.0
435,-239.53125,-239.53125,-642.5
436,-239.53125,-239.53125,-644.0
437,-239.53125,-239.53125,-645.5
438,-239.53125,-239.53125,-647.0
439,-239.53125,-239.53125,-648.5
440,-239.53125,-239.53125,-650.0
441,-239.53125,-239.53125,-651.5
442,-239.53125,-239.53125,-653.0
443,-239.53125,-239.53125,-654.5
444,-239.53125,-239.53125,-656.0
445,-239.53125,-239.53125,-657.5
446,-239.53125,-239.53125,-659.0
447,-239.53125,-239.53125,-660.5
448,-239.53125,-239.53125,-662.0
449,-239.53125,-239.53125,-663.5
450,-239.53125,-239.53125,-665.0
451,-239.53125,-239.53125,-666.5
452,-239.53125,-239.53125,-668.0
453,-239.53125,-239.53125,-669.5
454,-239.53125,-239.53125,-671.0
455,-239.53125,-239.53125,-672.5
456,-239.53125,-239.53125,-674.0
457,-239.53125,-239.53125,-675.5
458,-239.53125,-239.53125,-677.0
459,-239.53125,-239.53125,-678.5
460,-239.53125,-239.53125,-680.0
461,-239.53125,-239.53125,-681.5
462,-239.53125,-239.53125,-683.0
463,-239.53125,-239.53125,-684.5
464,-239.53125,-239.53125,-686.0
465,-239.53125,-239.53125,-687.5
466,-239.53125,-239.53125,-689.0
467,-239.53125,-239.53125,-690.5
468,-239.53125,-239.53125,-692.0
469,-239.53125,-239.53125,-693.5
470,-239.53125,-239.53125,-695.0
471,-239.53125,-239.53125,-696.5
472,-239.53125,-239.53125,-698.0
473,-239.53125,-239.53125,-699.5
474,-239.53125,-239.53125,-701.0
475,-239.53125,-239.53125,-702.5
476,-239.53125,-239.53125,-704.0
477,-239.53125,-239.53125,-705.5
478,-239.53125,-239.53125,-707.0
479,-239.53125,-239.53125,-708.5
480,-239.53125,-239.53125,-710.0
481,-239.53125,-239.53125,-711.5
482,-239.53125,-239.53125,-713.0
483,-239.53125,-239.53125,-714.5
484,-239.53125,-239.53125,-716.0
485,-239.53125,-239.53125,-717.5
486,-239.53125,-239.53125,-719.0
487,-239.53125,-239.53125,-720.5
488,-239.53125,-239.53125,-722.0
489,-239.53125,-239.53125,-723.5
490,-239.53125,-239.53125,-725.0
491,-239.53125,-239.53125,-726.5
492,-239.53125,-239.53125,-728.0
493,-239.53125,-239.53125,-729.5
494,-239.53125,-239.53125,-731.0
495,-239.53125,-239.53125,-732.5
496,-239.53125,-239.53125,-734.0
497,-239.53125,-239.53125,-735.5
